Table with row headings in column A and column headings in row 2.,_unnamed,_unnamed_2,_unnamed_3,_unnamed_4,_unnamed_5,_unnamed_6,_unnamed_7,_unnamed_8,_unnamed_9,_unnamed_10
SANDOVAL,287.0,96303.0,35.7,26683.6,6.0,0.19,0.55,2.18,0.41,90.66
BARRETT,288.0,95896.0,35.55,26719.14,83.22,12.41,0.57,0.55,1.54,1.72
HOPKINS,289.0,94603.0,35.07,26754.21,75.56,20.28,0.42,0.82,1.55,1.37
KELLER,290.0,94300.0,34.96,26789.17,92.93,3.59,0.42,0.47,1.11,1.49
GUERRERO,291.0,94152.0,34.9,26824.07,5.16,0.32,2.36,0.25,0.6,91.32
STANLEY,292.0,93817.0,34.78,26858.85,81.04,14.15,0.52,1.05,1.57,1.65
BATES,293.0,93743.0,34.75,26893.6,77.09,18.56,0.41,0.73,1.48,1.72
ALVARADO,294.0,93723.0,34.74,26928.34,4.79,0.33,0.6,0.29,0.44,93.57
BECK,295.0,93161.0,34.53,26962.88,91.73,4.47,0.58,0.6,1.23,1.39
ORTEGA,296.0,93131.0,34.52,26997.4,5.69,0.33,1.1,0.62,0.43,91.83
WADE,297.0,92834.0,34.41,27031.81,67.49,28.13,0.36,0.65,1.87,1.49
ESTRADA,298.0,92831.0,34.41,27066.23,5.23,0.49,1.77,0.33,0.53,91.65
CONTRERAS,299.0,92660.0,34.35,27100.57,4.72,0.24,0.62,0.3,0.37,93.75
BARNETT,300.0,92287.0,34.21,27134.78,78.75,16.63,0.36,0.86,1.78,1.63
CALDWELL,301.0,91338.0,33.86,27168.64,70.27,25.58,0.34,0.69,1.55,1.57
SANTIAGO,302.0,90967.0,33.72,27202.36,5.86,1.46,4.43,0.19,0.84,87.22
LAMBERT,303.0,90618.0,33.59,27235.96,85.71,9.34,0.46,1.16,1.39,1.94
POWERS,304.0,90401.0,33.51,27269.47,91.01,5.14,0.51,0.52,1.23,1.58
CHAMBERS,305.0,90325.0,33.48,27302.95,68.8,26.93,0.36,0.56,1.78,1.57
NUNEZ,306.0,90208.0,33.44,27336.39,6.44,0.77,0.8,0.3,0.47,91.21
CRAIG,307.0,89591.0,33.21,27369.6,81.17,14.47,0.5,0.68,1.57,1.61
LEONARD,308.0,89198.0,33.07,27402.67,82.59,13.14,0.45,0.75,1.32,1.75
LOWE,309.0,89178.0,33.06,27435.73,75.29,18.53,1.66,0.94,1.83,1.75
RHODES,310.0,88917.0,32.96,27468.69,77.16,19.04,0.32,0.62,1.45,1.41
BYRD,311.0,88811.0,32.92,27501.61,61.25,34.2,0.26,1.08,1.83,1.39
GREGORY,312.0,88810.0,32.92,27534.53,80.87,14.62,0.43,0.75,1.51,1.82
SHELTON,313.0,88326.0,32.74,27567.27,76.18,19.76,0.36,0.62,1.7,1.37
FRAZIER,314.0,88325.0,32.74,27600.01,59.05,36.14,0.37,1.29,1.85,1.3
BECKER,315.0,88114.0,32.66,27632.68,96.4,0.46,0.45,0.31,1.02,1.38
MALDONADO,316.0,88016.0,32.63,27665.31,5.53,0.51,0.33,0.27,0.42,92.95
FLEMING,317.0,87949.0,32.6,27697.91,74.59,21.51,0.44,0.48,1.55,1.43
VEGA,318.0,87728.0,32.52,27730.43,6.46,0.6,0.65,0.29,0.45,91.54
SUTTON,319.0,87373.0,32.39,27762.82,75.08,20.88,0.37,0.64,1.61,1.41
COHEN,320.0,87226.0,32.33,27795.15,90.63,5.51,0.42,0.11,1.23,2.11
JENNINGS,321.0,87038.0,32.26,27827.42,73.38,22.36,0.54,0.56,1.62,1.53
PARKS,322.0,86346.0,32.01,27859.42,71.48,24.25,0.53,0.57,1.8,1.37
MCDANIEL,323.0,86317.0,32.0,27891.42,78.48,17.53,0.3,0.59,1.59,1.5
WATTS,324.0,86228.0,31.96,27923.39,70.81,24.96,0.35,0.73,1.66,1.48
BARKER,325.0,85221.0,31.59,27954.98,88.54,7.24,0.48,0.63,1.42,1.69
NORRIS,326.0,85212.0,31.59,27986.57,82.01,13.81,0.37,0.93,1.53,1.35
VAUGHN,327.0,85037.0,31.52,28018.09,73.63,22.02,0.33,0.71,1.74,1.57
VAZQUEZ,328.0,84926.0,31.48,28049.57,4.6,0.34,0.19,0.09,0.27,94.52
HOLT,329.0,84710.0,31.4,28080.97,81.19,14.44,0.52,0.78,1.69,1.38
SCHWARTZ,330.0,84699.0,31.4,28112.37,96.77,0.4,0.46,0.16,1.0,1.21
STEELE,331.0,84353.0,31.27,28143.64,80.39,14.94,0.41,1.08,1.47,1.71
BENSON,332.0,84233.0,31.22,28174.86,79.98,15.65,0.61,0.74,1.48,1.55
NEAL,333.0,83849.0,31.08,28205.95,64.69,30.91,0.42,0.69,1.84,1.43
DOMINGUEZ,334.0,83731.0,31.04,28236.99,6.16,0.43,1.15,0.37,0.46,91.43
HORTON,335.0,83523.0,30.96,28267.95,72.15,23.5,0.4,0.69,1.73,1.53
TERRY,336.0,83437.0,30.93,28298.88,68.82,26.63,0.41,0.73,1.73,1.68
WOLFE,337.0,83112.0,30.81,28329.69,92.29,3.37,0.43,1.27,1.21,1.43
HALE,338.0,82955.0,30.75,28360.44,83.99,11.17,0.46,1.19,1.59,1.6
LYONS,339.0,82258.0,30.49,28390.93,76.88,18.55,0.45,0.94,1.67,1.51
GRAVES,340.0,82179.0,30.46,28421.39,71.95,23.56,0.37,0.72,1.74,1.66
HAYNES,341.0,82037.0,30.41,28451.8,63.72,32.01,0.3,0.56,1.71,1.7
MILES,342.0,81933.0,30.37,28482.18,63.61,31.8,0.43,0.81,1.76,1.59
PARK,343.0,81890.0,30.36,28512.53,30.06,0.82,66.3,0.2,1.77,0.85
WARNER,344.0,81824.0,30.33,28542.87,86.32,9.69,0.51,0.61,1.4,1.48
PADILLA,345.0,81805.0,30.32,28573.19,6.94,0.34,2.07,1.0,0.64,88.99
BUSH,346.0,81524.0,30.22,28603.41,74.14,21.49,0.52,0.78,1.53,1.55
THORNTON,347.0,81191.0,30.1,28633.51,69.33,26.53,0.37,0.66,1.8,1.31
MCCARTHY,348.0,81035.0,30.04,28663.55,93.9,2.78,0.54,0.26,1.12,1.41
MANN,349.0,81022.0,30.03,28693.58,83.1,9.68,2.41,1.28,1.73,1.81
ZIMMERMAN,350.0,80944.0,30.01,28723.59,94.81,2.27,0.43,0.27,0.97,1.25
ERICKSON,351.0,80936.0,30.0,28753.59,96.39,0.24,0.5,0.54,1.08,1.26
FLETCHER,352.0,80932.0,30.0,28783.59,75.52,19.92,0.47,0.73,1.69,1.68
MCKINNEY,353.0,80616.0,29.88,28813.48,71.57,24.31,0.29,0.8,1.68,1.35
PAGE,354.0,80493.0,29.84,28843.31,77.16,18.66,0.48,0.54,1.43,1.73
DAWSON,355.0,80190.0,29.73,28873.04,70.48,25.22,0.48,0.51,1.72,1.59
JOSEPH,356.0,80030.0,29.67,28902.71,35.48,48.84,6.91,1.09,5.31,2.37
MARQUEZ,357.0,79951.0,29.64,28932.35,5.69,0.56,2.79,0.48,0.64,89.84
REEVES,358.0,79817.0,29.59,28961.93,79.79,15.66,0.46,0.7,1.64,1.75
KLEIN,359.0,79685.0,29.54,28991.47,96.53,0.3,0.4,0.23,1.05,1.49
ESPINOZA,360.0,79322.0,29.4,29020.88,4.38,0.25,0.37,0.41,0.31,94.29
BALDWIN,361.0,79151.0,29.34,29050.22,79.12,16.51,0.41,0.9,1.44,1.62
MORAN,362.0,78546.0,29.12,29079.33,71.43,2.44,0.55,0.82,1.04,23.71
LOVE,363.0,78323.0,29.03,29108.37,59.3,36.26,0.45,0.56,1.86,1.58
ROBBINS,364.0,78141.0,28.97,29137.34,89.09,7.03,0.41,0.8,1.36,1.3
HIGGINS,365.0,78107.0,28.95,29166.29,85.92,10.27,0.41,0.51,1.37,1.52
BALL,366.0,77561.0,28.75,29195.04,84.53,11.7,0.43,0.5,1.17,1.66
CORTEZ,367.0,77492.0,28.73,29223.77,7.03,0.72,2.79,0.33,0.58,88.54
LE,368.0,77453.0,28.71,29252.48,1.83,0.29,95.15,0.03,2.13,0.56
GRIFFITH,369.0,77429.0,28.7,29281.18,85.82,9.8,0.37,0.66,1.62,1.74
BOWEN,370.0,77078.0,28.57,29309.75,84.52,11.06,0.41,0.69,1.59,1.73
SHARP,371.0,76868.0,28.49,29338.25,85.12,10.5,0.45,0.95,1.4,1.58
CUMMINGS,372.0,76707.0,28.44,29366.68,75.47,18.38,0.68,2.15,1.84,1.49
RAMSEY,373.0,76625.0,28.4,29395.09,79.54,16.13,0.34,0.67,1.64,1.68
HARDY,374.0,76608.0,28.4,29423.49,63.67,31.73,0.39,1.1,1.65,1.45
SWANSON,375.0,76539.0,28.37,29451.86,92.01,4.59,0.55,0.4,1.09,1.36
BARBER,376.0,76504.0,28.36,29480.22,77.88,17.4,0.55,0.99,1.6,1.57
ACOSTA,377.0,76477.0,28.35,29508.57,8.04,0.69,2.36,0.29,0.63,87.99
LUNA,378.0,76127.0,28.22,29536.79,9.78,0.37,2.0,0.58,0.7,86.58
CHANDLER,379.0,76114.0,28.22,29565.0,76.77,19.11,0.5,0.55,1.59,1.48
BLAIR,380.0,75135.0,27.85,29592.86,82.13,13.52,0.47,0.61,1.68,1.59
DANIEL,380.0,75135.0,27.85,29620.71,67.02,24.05,2.12,0.58,1.95,4.27
CROSS,382.0,75134.0,27.85,29648.56,77.68,17.63,0.41,0.9,1.73,1.66
SIMON,383.0,74839.0,27.74,29676.3,69.94,20.95,1.98,0.65,1.83,4.66
DENNIS,384.0,74784.0,27.72,29704.03,68.5,26.49,0.44,0.72,1.83,2.03
OCONNOR,385.0,74756.0,27.71,29731.74,94.75,1.74,0.58,0.25,1.1,1.58
QUINN,386.0,74531.0,27.63,29759.37,88.13,7.91,0.52,0.45,1.26,1.73
GROSS,387.0,74285.0,27.54,29786.9,86.61,9.85,0.41,0.31,1.15,1.67
NAVARRO,388.0,73970.0,27.42,29814.32,7.9,0.45,4.1,0.27,0.71,86.57
MOSS,389.0,73750.0,27.34,29841.66,71.87,24.11,0.37,0.71,1.48,1.46
FITZGERALD,390.0,73522.0,27.25,29868.92,88.03,8.44,0.49,0.32,1.28,1.43
DOYLE,391.0,73518.0,27.25,29896.17,90.74,5.37,0.46,0.53,1.31,1.6
MCLAUGHLIN,392.0,73128.0,27.11,29923.28,89.65,6.73,0.42,0.47,1.17,1.55
ROJAS,393.0,73071.0,27.09,29950.37,4.77,0.43,0.85,0.21,0.44,93.31
RODGERS,394.0,73021.0,27.07,29977.43,72.92,22.64,0.42,0.63,1.62,1.76
STEVENSON,395.0,72892.0,27.02,30004.45,65.79,29.69,0.45,0.51,1.79,1.76
SINGH,396.0,72642.0,26.93,30031.38,3.51,3.09,74.44,1.01,15.3,2.65
YANG,397.0,72627.0,26.92,30058.31,0.95,0.13,95.03,0.04,3.49,0.35
FIGUEROA,398.0,72533.0,26.89,30085.19,5.46,0.93,0.99,0.24,0.52,91.86
HARMON,399.0,72414.0,26.84,30112.04,80.01,15.95,0.39,0.77,1.51,1.38
NEWTON,400.0,72328.0,26.81,30138.85,77.9,17.74,0.44,0.72,1.56,1.64
PAUL,401.0,72248.0,26.78,30165.63,73.8,16.16,3.63,1.94,2.6,1.87
MANNING,402.0,72069.0,26.72,30192.35,76.64,19.14,0.42,0.83,1.41,1.55
GARNER,403.0,72052.0,26.71,30219.06,74.14,21.99,0.37,0.59,1.51,1.4
MCGEE,404.0,71925.0,26.66,30245.72,64.94,30.69,0.35,0.62,1.81,1.6
REESE,405.0,71754.0,26.6,30272.32,68.17,27.73,0.35,0.59,1.49,1.66
FRANCIS,406.0,71723.0,26.59,30298.9,63.89,27.57,1.3,2.08,2.44,2.72
BURGESS,407.0,71604.0,26.54,30325.45,77.77,17.43,0.56,1.02,1.75,1.48
ADKINS,408.0,71528.0,26.52,30351.96,88.92,7.52,0.28,0.87,1.26,1.15
GOODMAN,409.0,71482.0,26.5,30378.46,80.66,15.12,0.43,0.97,1.25,1.58
CURRY,410.0,71344.0,26.45,30404.91,61.73,34.25,0.42,0.42,1.68,1.51
BRADY,411.0,71175.0,26.38,30431.29,89.02,6.56,0.46,0.86,1.24,1.86
CHRISTENSEN,412.0,71144.0,26.37,30457.67,95.86,0.27,0.51,0.62,1.13,1.61
POTTER,413.0,71103.0,26.36,30484.02,90.33,5.19,0.47,0.78,1.52,1.7
WALTON,414.0,70997.0,26.32,30510.34,62.56,33.54,0.32,0.47,1.67,1.44
GOODWIN,415.0,70333.0,26.07,30536.41,78.97,16.82,0.41,0.82,1.55,1.42
MULLINS,416.0,70286.0,26.05,30562.47,89.92,6.75,0.3,0.6,1.25,1.17
MOLINA,417.0,70211.0,26.03,30588.5,6.6,0.46,2.34,0.85,0.62,89.13
WEBSTER,418.0,70123.0,25.99,30614.49,76.16,18.51,0.48,1.34,1.88,1.64
FISCHER,419.0,70095.0,25.98,30640.47,95.71,0.86,0.45,0.35,1.08,1.55
CAMPOS,420.0,69950.0,25.93,30666.4,7.55,0.3,1.5,0.25,0.85,89.55
AVILA,421.0,69843.0,25.89,30692.3,8.33,0.4,0.94,0.26,0.64,89.43
SHERMAN,422.0,69840.0,25.89,30718.18,84.91,10.9,0.46,0.91,1.35,1.48
TODD,423.0,69810.0,25.88,30744.06,82.81,12.95,0.47,0.61,1.59,1.58
CHANG,424.0,69756.0,25.86,30769.92,2.28,0.94,90.13,0.02,3.69,2.94
BLAKE,425.0,69279.0,25.68,30795.6,74.04,21.11,0.42,0.78,1.78,1.86
MALONE,426.0,69257.0,25.67,30821.28,69.8,26.01,0.43,0.64,1.58,1.54
WOLF,427.0,68905.0,25.54,30846.82,94.96,1.04,0.48,0.97,1.15,1.4
HODGES,428.0,68868.0,25.53,30872.35,75.92,19.89,0.42,0.46,1.56,1.75
JUAREZ,429.0,68785.0,25.5,30897.85,4.08,0.22,0.43,0.23,0.32,94.72
GILL,430.0,68699.0,25.47,30923.31,70.9,14.15,8.35,0.53,2.28,3.79
FARMER,431.0,68309.0,25.32,30948.64,79.01,16.88,0.34,0.99,1.42,1.35
HINES,432.0,68145.0,25.26,30973.9,60.48,35.62,0.38,0.46,1.56,1.49
GALLAGHER,433.0,68075.0,25.24,30999.13,96.08,0.58,0.46,0.25,1.02,1.61
DURAN,434.0,68046.0,25.22,31024.36,11.58,0.56,1.09,0.93,0.68,85.17
HUBBARD,435.0,68021.0,25.22,31049.57,73.47,22.2,0.34,0.93,1.67,1.39
CANNON,436.0,67923.0,25.18,31074.75,72.24,23.73,0.38,0.54,1.6,1.5
MIRANDA,437.0,67646.0,25.08,31099.83,14.34,0.97,4.08,0.57,1.83,78.2
WANG,438.0,67570.0,25.05,31124.87,3.25,0.19,94.47,0.03,1.73,0.33
SAUNDERS,439.0,67210.0,24.91,31149.79,69.67,25.59,0.44,0.75,1.9,1.65
TATE,440.0,67208.0,24.91,31174.7,58.16,37.54,0.47,0.73,1.72,1.38
MACK,441.0,67154.0,24.89,31199.6,47.35,48.38,0.6,0.56,1.74,1.37
HAMMOND,442.0,67063.0,24.86,31224.46,80.78,15.11,0.43,0.82,1.52,1.34
CARRILLO,443.0,67054.0,24.86,31249.31,6.04,0.27,0.73,0.47,0.39,92.1
TOWNSEND,444.0,66853.0,24.78,31274.1,70.59,25.03,0.43,0.75,1.62,1.59
WISE,445.0,66738.0,24.74,31298.83,80.67,14.97,0.5,0.65,1.54,1.68
INGRAM,446.0,66665.0,24.71,31323.55,63.69,32.14,0.31,0.54,1.76,1.56
BARTON,447.0,66622.0,24.7,31348.24,87.13,7.55,0.43,1.43,1.38,2.08
MEJIA,448.0,66534.0,24.66,31372.91,3.99,0.49,1.44,0.28,0.55,93.25
AYALA,449.0,66515.0,24.66,31397.56,4.77,0.57,0.48,0.23,0.45,93.51
SCHROEDER,450.0,66412.0,24.62,31422.18,96.74,0.23,0.48,0.39,0.86,1.3
HAMPTON,451.0,66378.0,24.61,31446.79,56.28,39.52,0.34,0.65,1.88,1.33
ROWE,452.0,66205.0,24.54,31471.33,82.19,13.53,0.51,0.56,1.56,1.65
PARSONS,453.0,66203.0,24.54,31495.87,92.71,3.39,0.41,0.57,1.41,1.51
FRANK,454.0,65918.0,24.44,31520.31,86.69,7.38,0.7,2.1,1.34,1.78
WATERS,455.0,65817.0,24.4,31544.71,75.27,20.52,0.37,0.79,1.54,1.51
STRICKLAND,456.0,65814.0,24.4,31569.1,78.49,16.14,0.36,2.16,1.53,1.32
OSBORNE,457.0,65802.0,24.39,31593.5,83.98,11.98,0.38,0.63,1.59,1.44
MAXWELL,458.0,65779.0,24.38,31617.88,75.79,19.66,0.43,0.59,1.7,1.82
CHAN,459.0,65719.0,24.36,31642.24,2.72,0.54,91.01,0.04,2.82,2.87
DELEON,460.0,65598.0,24.32,31666.56,7.55,1.06,8.29,0.23,0.93,81.94
NORMAN,461.0,65269.0,24.2,31690.75,71.58,24.13,0.42,0.61,1.71,1.54
HARRINGTON,462.0,65131.0,24.14,31714.9,83.92,11.97,0.53,0.59,1.49,1.51
CASEY,463.0,64815.0,24.03,31738.92,88.51,7.25,0.49,0.66,1.6,1.5
PATTON,464.0,64772.0,24.01,31762.94,75.56,20.18,0.39,0.78,1.62,1.48
LOGAN,465.0,64576.0,23.94,31786.87,67.08,27.1,0.56,1.06,2.05,2.15
BOWERS,466.0,64496.0,23.91,31810.78,85.34,10.94,0.38,0.5,1.34,1.5
MUELLER,467.0,64305.0,23.84,31834.62,96.96,0.23,0.48,0.18,0.91,1.24
GLOVER,468.0,64180.0,23.79,31858.41,54.91,40.96,0.36,0.4,1.9,1.47
FLOYD,469.0,64141.0,23.78,31882.19,67.94,28.3,0.31,0.57,1.59,1.28
HARTMAN,470.0,63827.0,23.66,31905.85,95.42,1.5,0.44,0.38,1.05,1.2
BUCHANAN,471.0,63825.0,23.66,31929.51,79.92,15.91,0.48,0.56,1.57,1.57
COBB,472.0,63739.0,23.63,31953.14,72.07,24.24,0.35,0.65,1.48,1.2
FRENCH,473.0,63149.0,23.41,31976.55,87.74,7.65,0.49,1.04,1.56,1.52
KRAMER,474.0,63023.0,23.36,31999.91,96.47,0.28,0.46,0.25,1.08,1.46
MCCORMICK,475.0,62663.0,23.23,32023.14,89.1,7.24,0.41,0.43,1.3,1.52
CLARKE,476.0,62546.0,23.19,32046.32,66.14,28.18,0.52,0.4,2.29,2.46
TYLER,477.0,62534.0,23.18,32069.5,64.08,30.74,0.43,1.37,1.8,1.58
GIBBS,478.0,62514.0,23.17,32092.68,67.84,27.75,0.39,0.7,1.75,1.57
MOODY,479.0,62344.0,23.11,32115.79,72.99,22.54,0.37,0.8,1.57,1.73
CONNER,480.0,62335.0,23.11,32138.9,80.81,15.41,0.38,0.51,1.44,1.44
SPARKS,481.0,62234.0,23.07,32161.97,85.92,10.0,0.4,0.73,1.56,1.39
MCGUIRE,482.0,62116.0,23.03,32184.99,89.56,6.19,0.53,0.51,1.51,1.7
LEON,483.0,62034.0,23.0,32207.99,13.02,3.02,1.16,0.45,0.71,81.65
BAUER,484.0,61979.0,22.98,32230.96,96.34,0.34,0.45,0.33,0.98,1.56
NORTON,485.0,61805.0,22.91,32253.87,89.66,6.08,0.43,1.09,1.34,1.41
POPE,486.0,61750.0,22.89,32276.76,72.86,23.12,0.36,0.59,1.61,1.45
FLYNN,487.0,61747.0,22.89,32299.65,93.64,2.8,0.48,0.56,1.07,1.46
HOGAN,488.0,61651.0,22.85,32322.51,82.38,13.86,0.41,0.47,1.27,1.61
ROBLES,489.0,61619.0,22.84,32345.35,5.88,0.51,2.05,0.44,0.53,90.58
SALINAS,490.0,61582.0,22.83,32368.18,5.68,0.2,0.98,0.25,0.39,92.5
YATES,491.0,61400.0,22.76,32390.94,82.61,13.29,0.44,0.63,1.46,1.57
LINDSEY,492.0,61199.0,22.69,32413.62,70.65,24.56,0.74,0.6,1.96,1.49
LLOYD,493.0,61154.0,22.67,32436.29,74.91,21.15,0.47,0.41,1.56,1.49
MARSH,494.0,60999.0,22.61,32458.91,85.01,11.32,0.42,0.5,1.41,1.34
MCBRIDE,495.0,60874.0,22.57,32481.47,76.51,19.02,0.38,0.81,1.54,1.73
OWEN,496.0,60461.0,22.41,32503.89,93.36,2.37,0.55,0.87,1.28,1.58
SOLIS,497.0,60045.0,22.26,32526.14,5.86,0.45,1.57,0.2,0.42,91.5
PHAM,498.0,59949.0,22.22,32548.37,1.31,0.18,95.86,0.06,1.98,0.63
LANG,499.0,59843.0,22.18,32570.55,84.16,9.9,2.34,0.56,1.41,1.63
PRATT,500.0,59801.0,22.17,32592.72,80.27,14.77,0.53,1.03,1.63,1.77
LARA,501.0,59731.0,22.14,32614.86,6.28,0.42,1.07,0.36,0.56,91.3
BROCK,502.0,59682.0,22.12,32636.98,85.02,11.18,0.33,0.68,1.43,1.36
BALLARD,503.0,59660.0,22.12,32659.1,77.29,18.46,0.29,0.87,1.58,1.51
TRUJILLO,504.0,59609.0,22.1,32681.2,9.07,0.2,0.22,1.86,0.59,88.07
SHAFFER,505.0,59227.0,21.96,32703.15,94.61,2.2,0.4,0.36,1.17,1.27
DRAKE,506.0,59055.0,21.89,32725.04,81.84,14.21,0.41,0.64,1.49,1.41
ROMAN,507.0,59020.0,21.88,32746.92,25.56,1.98,0.94,0.17,0.72,70.64
AGUIRRE,508.0,58918.0,21.84,32768.76,6.28,0.28,1.19,0.26,0.46,91.52
MORTON,509.0,58788.0,21.79,32790.56,75.94,19.46,0.51,0.77,1.76,1.57
STOKES,510.0,58687.0,21.76,32812.31,60.78,35.09,0.33,0.44,1.71,1.64
LAMB,511.0,58555.0,21.71,32834.02,87.41,8.45,0.58,0.57,1.37,1.63
PACHECO,512.0,58534.0,21.7,32855.72,18.19,0.5,1.18,0.9,1.52,77.71
PATRICK,513.0,58257.0,21.6,32877.31,76.02,19.4,0.51,1.01,1.61,1.45
COCHRAN,514.0,58233.0,21.59,32898.9,87.03,8.61,0.36,1.23,1.35,1.42
SHEPHERD,515.0,57935.0,21.48,32920.37,80.98,14.74,0.38,1.01,1.55,1.34
CAIN,516.0,57873.0,21.45,32941.83,80.07,15.95,0.49,0.66,1.48,1.36
BURNETT,517.0,57859.0,21.45,32963.28,72.77,22.7,0.39,0.79,1.88,1.48
HESS,518.0,57822.0,21.43,32984.71,95.94,0.86,0.48,0.42,1.03,1.27
LI,519.0,57786.0,21.42,33006.13,1.28,0.12,96.44,0.01,1.4,0.75
CERVANTES,520.0,57685.0,21.38,33027.51,3.96,0.12,0.85,0.26,0.32,94.49
OLSEN,521.0,57357.0,21.26,33048.78,95.28,0.28,0.64,0.73,1.36,1.7
BRIGGS,522.0,57297.0,21.24,33070.02,77.89,17.99,0.43,0.61,1.64,1.44
OCHOA,523.0,57210.0,21.21,33091.22,5.18,0.33,0.63,0.41,0.28,93.17
CABRERA,524.0,57171.0,21.19,33112.42,5.48,0.45,3.56,0.16,0.64,89.71
VELASQUEZ,525.0,57163.0,21.19,33133.61,5.34,0.57,1.74,0.59,0.51,91.26
MONTOYA,526.0,57075.0,21.16,33154.76,8.74,0.24,0.83,1.66,0.74,87.78
ROTH,527.0,57030.0,21.14,33175.91,96.27,0.46,0.72,0.24,0.99,1.33
MEYERS,528.0,56744.0,21.03,33196.94,91.17,4.49,0.67,0.65,1.39,1.64
CARDENAS,529.0,56618.0,20.99,33217.93,5.14,0.29,1.04,0.16,0.41,92.96
FUENTES,530.0,56441.0,20.92,33238.85,5.76,0.49,1.47,0.27,0.49,91.52
WEISS,531.0,56153.0,20.82,33259.67,96.45,0.36,0.47,0.19,1.08,1.46
HOOVER,532.0,56068.0,20.78,33280.45,93.27,3.25,0.4,0.63,1.22,1.24
WILKINS,532.0,56068.0,20.78,33301.24,65.2,30.04,0.34,0.88,1.81,1.72
NICHOLSON,534.0,55986.0,20.75,33321.99,77.0,18.74,0.41,0.6,1.63,1.62
UNDERWOOD,535.0,55973.0,20.75,33342.74,81.0,14.49,0.37,1.07,1.62,1.44
SHORT,536.0,55903.0,20.72,33363.46,85.71,9.93,0.5,0.91,1.51,1.44
CARSON,537.0,55821.0,20.69,33384.15,74.27,21.14,0.53,0.66,1.75,1.65
MORROW,538.0,55664.0,20.63,33404.79,81.58,14.32,0.44,0.68,1.56,1.42
COLON,539.0,55512.0,20.58,33425.37,7.9,2.07,0.28,0.14,0.57,89.03
HOLLOWAY,540.0,55466.0,20.56,33445.93,60.73,35.27,0.31,0.54,1.84,1.3
SUMMERS,541.0,55391.0,20.53,33466.46,80.58,14.48,0.5,1.13,1.68,1.63
BRYAN,542.0,55269.0,20.49,33486.95,84.48,10.23,0.5,0.68,1.72,2.4
PETERSEN,543.0,55185.0,20.46,33507.41,95.15,1.14,0.62,0.39,1.1,1.6
MCKENZIE,544.0,55084.0,20.42,33527.83,68.68,26.14,0.55,0.73,1.95,1.94
SERRANO,545.0,55057.0,20.41,33548.24,6.33,0.75,2.84,0.2,0.59,89.29
WILCOX,546.0,54987.0,20.38,33568.62,85.79,9.94,0.48,0.79,1.43,1.56
CAREY,547.0,54924.0,20.36,33588.98,83.21,12.75,0.43,0.64,1.53,1.43
CLAYTON,548.0,54875.0,20.34,33609.32,71.44,24.56,0.38,0.5,1.78,1.35
POOLE,549.0,54706.0,20.28,33629.6,74.92,21.82,0.37,0.36,1.45,1.08
CALDERON,550.0,54691.0,20.27,33649.87,5.92,0.67,1.67,0.19,0.45,91.1
GALLEGOS,551.0,54672.0,20.27,33670.14,8.34,0.15,0.46,0.61,0.53,89.9
GREER,552.0,54611.0,20.24,33690.38,75.62,20.62,0.35,0.44,1.49,1.47
RIVAS,553.0,54588.0,20.24,33710.62,5.82,0.61,0.4,0.33,0.4,92.43
GUERRA,554.0,54575.0,20.23,33730.85,12.73,0.74,0.51,0.56,0.59,84.87
DECKER,555.0,54450.0,20.18,33751.04,95.37,0.82,0.41,0.6,1.15,1.65
COLLIER,556.0,54414.0,20.17,33771.21,69.6,26.48,0.37,0.52,1.79,1.24
WALL,557.0,54401.0,20.17,33791.37,87.8,8.0,0.48,0.77,1.35,1.59
WHITAKER,558.0,54343.0,20.14,33811.52,73.4,23.2,0.34,0.42,1.4,1.25
BASS,559.0,54296.0,20.13,33831.65,71.82,23.74,0.39,0.63,1.76,1.66
FLOWERS,560.0,54277.0,20.12,33851.77,55.93,39.22,0.32,0.53,2.05,1.94
DAVENPORT,561.0,54206.0,20.09,33871.86,73.94,21.72,0.41,0.74,1.72,1.49
CONLEY,562.0,54194.0,20.09,33891.95,81.47,15.09,0.35,0.5,1.36,1.22
HOUSTON,563.0,54026.0,20.03,33911.98,54.63,40.92,0.42,0.56,1.97,1.5
HUFF,564.0,53892.0,19.98,33931.95,82.89,13.11,0.4,0.69,1.48,1.43
COPELAND,565.0,53771.0,19.93,33951.89,68.57,27.32,0.34,0.63,1.69,1.45
HOOD,566.0,53737.0,19.92,33971.81,76.59,19.08,0.4,1.01,1.59,1.33
MONROE,567.0,53475.0,19.82,33991.63,65.22,28.87,0.42,1.44,1.77,2.29
MASSEY,568.0,53459.0,19.82,34011.45,75.41,19.77,0.8,0.94,1.61,1.46
ROBERSON,569.0,53198.0,19.72,34031.17,53.85,42.11,0.28,0.59,1.88,1.29
COMBS,570.0,53180.0,19.71,34050.88,87.37,9.01,0.36,0.54,1.42,1.29
FRANCO,571.0,53161.0,19.71,34070.59,19.29,0.55,1.76,0.36,0.88,77.16
LARSEN,572.0,52963.0,19.63,34090.22,95.64,0.43,0.55,0.62,1.23,1.53
PITTMAN,573.0,52689.0,19.53,34109.75,66.35,30.0,0.28,0.61,1.54,1.21
RANDALL,574.0,52495.0,19.46,34129.21,76.37,18.86,0.46,1.09,1.64,1.58
SKINNER,575.0,52490.0,19.46,34148.67,81.4,14.45,0.4,0.63,1.44,1.68
